player_id,club_id,national_team_id,player_name,player_ovr,player_age,player_trait,player_speciality
1,3,7,Alexandre Lacazette,85,30,Chip Shot,Solid Player
2,6,8,Dominic Calvert-Lewin,81,25,Power Header,Poacher
3,2,9,Cristian Pavon,78,26,Clinical Finisher,Crosser
4,1,7,Kylian Mbappe,91,23,Speed Dribbler,Speedster
5,7,4,Mehdi Taremi,79,29,Strength,Flair
6,10,2,Kevin De Bruyne,91,30,Playmaker,Engine
7,4,10,Rafa Silva,82,28,Outside Foot Shot,Speed Dribbler
8,5,5,Cameron Howieson,70,27,Tackler,Team Player
9,14,10,Cristiano Ronaldo,91,36,Long Shot Taker,Aerial Threat
10,1,9,Lionel Messi,93,34,One Club Player,Free Kick Specialist
11,15,3,Hector Moreno,77,33,Leadership,Injury Prone
12,10,10,Ruben Dias,88,24,Tactician,Power Header
13,8,4,Vahid Amiri,72,33,Set Play Specialist,Bicycle Kicks
14,1,1,Neymar Jr,91,30,Technical Dribbler,Acrobat
15,10,1,Ederson,89,27,Comes for Crosses,Long Passer
